player_platform,player_platform_id
steam,76561198354288909
steam,76561198293474733
steam,76561198118651841
steam,76561198060165844
steam,76561198867024835
xbl,D2Jetter
steam,76561198089057925
steam,76561198059743159
steam,76561198128157330
steam,76561198257238904
psn,DcuRt-
steam,76561198273525389
epic,lucid
steam,76561198070007115
epic,Immortal
epic,MARKsmanRL
steam,76561197964604487
steam,76561198840924068
steam,76561198070074997
steam,76561198370818897
steam,76561198375222844
steam,76561198855702736
steam,76561198115574246
steam,76561198176725497
steam,76561198320013404
steam,76561198372477204
steam,76561198046497433
steam,76561198196004874
steam,76561198276172449
steam,76561198370569772
steam,76561198176917342
steam,76561198114254618
steam,76561198084814513
steam,76561198046607227
steam,76561198298641143
steam,76561198418854529
steam,76561198069800351
steam,76561198073670861
steam,76561198087021889
steam,76561198114822701
steam,76561199061675891
steam,76561198247336622
steam,76561198397509094
steam,76561198119212430
steam,76561198314040494
steam,76561198095896165
steam,76561198353463139
steam,76561198863654975
steam,76561198451113295
steam,76561198241414868
steam,76561198021011195
steam,76561198035700504
steam,76561198880594445
steam,76561198120886574
steam,76561198325466976
steam,76561198076827566
steam,76561198078504263
steam,76561198121508847
steam,76561198180374118
steam,76561198304145805
epic,Cheezy
steam,76561198019379574
steam,76561198387850971
steam,76561199087611826
steam,76561198813395044
steam,76561198085919179
steam,76561198824387721
steam,76561198011978982
steam,76561198091877702
steam,76561198354563268
steam,76561198166272301
steam,76561198047988955
steam,76561198347238890
steam,76561199014069779
steam,76561198828393741
steam,76561198373162516
epic,Mjck
steam,76561199084734339
steam,76561198135247572
steam,76561197997073112
steam,76561198287455361
steam,76561198052961263
steam,76561198191158355
steam,76561198171893227
steam,76561198129661324
steam,76561198876872754
steam,76561198875239612
psn,IntoAudacity
steam,76561198256433453
steam,76561199005467059
steam,76561198297490363
steam,76561198210552745
steam,76561198173436287
steam,76561198048224765
steam,76561198065087916
steam,76561197979079996
steam,76561198805322139
steam,76561198040589211
steam,76561198076092428
steam,76561198035644536
steam,76561198245199562
epic,Saber
steam,76561198070282536
steam,76561199053212084
steam,76561198285344701
steam,76561198272310027
steam,76561198414527131
steam,76561198053712247
steam,76561198313838564
steam,76561198325574123
steam,76561198143721329
psn,AngelmXB
xbl,Dicey
xbl,Moto
xbl,QUIKHorizon
steam,76561198112721484
psn,XBAgent1
steam,76561198153365568
psn,ToastSlow
steam,76561198153161673
steam,76561199060876856
steam,76561198293033491
steam,76561197985290480
steam,76561199049394034
steam,76561198311208566
steam,76561198233006288
steam,76561199017109750
steam,76561199071155394
steam,76561198042532652
steam,76561198136568747
epic,Wubik
steam,76561199024919747
steam,76561198103088369
steam,76561198072034983
steam,76561198061641934
steam,76561198134571092
steam,76561198140227761
steam,76561198128682886
steam,76561198054408118
steam,76561198101310932
steam,76561198179654022
steam,76561198168866310
steam,76561199011372873
steam,76561198114496943
epic,Caleb (IntoAudacity)
steam,76561198166362666
xbl,Alt Rusty
xbl,jadenruege (platnum jayz)
steam,76561198342113771
steam,76561199038618710
steam,76561197972689706
steam,76561198056993226
steam,76561198123484481
steam,76561199026981886
steam,76561198209160665
steam,76561197961363985
xbl,Skoogs
xbl,Joan XxXGamerProXxXx
xbl,dinger022
steam,76561198156546492
steam,76561198986689216
steam,76561198170245998
steam,76561198108049593
steam,76561198262043140
steam,76561199069337261
steam,76561198162164127
epic,Toast
xbl,PAPAHOFF420
steam,76561198133352663
steam,76561199013480101
epic,joebrothehobo
steam,76561198300187710
steam,76561199076722222
steam,76561198140845839
xbl,A GUZIK
epic,nzbula
steam,76561198131722237
xbl,Lil BeeMan
xbl,POWERBOGIE
